snapshot_id,captured_at,season,player_id,player_name,team,player_type,role_or_position,pa,ab,hits,home_runs,walks,strikeouts,batting_average,obp,slg,ops,iso,bb_rate,k_rate,hr_rate,bb_k_ratio,contact_score,power_score,discipline_score,hitter_value_score,innings_pitched,earned_runs,hits_allowed,home_runs_allowed,era,whip,k_bb_ratio,hr_allowed_rate,run_prevention_score,strikeout_score,command_score,pitcher_value_score,player_value_score
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000007018,劉子杰,樂天桃猿,打者,野手,174.0,166.0,42.0,1.0,6,14,0.253,0.277,0.307,0.584,0.054,0.0345,0.0805,0.0057,0.43,25.3,11.4,42.7,26.9,,,,,,,,,,,,,26.9
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000000362,申皓瑋,富邦悍將,打者,野手,165.0,148.0,35.0,2.0,11,40,0.236,0.303,0.324,0.627,0.088,0.0667,0.2424,0.0121,0.38,23.6,19.6,42.3,29.1,,,,,,,,,,,,,29.1
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000002307,王政順,中信兄弟,打者,野手,128.0,110.0,27.0,0.0,12,28,0.245,0.331,0.264,0.595,0.019,0.0938,0.2188,0.0,0.54,24.5,3.2,49.6,26.4,,,,,,,,,,,,,26.4
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000004641,李丞齡,統一7-ELEVEn獅,打者,野手,134.0,128.0,30.0,3.0,5,22,0.234,0.261,0.32,0.581,0.086,0.0373,0.1642,0.0224,0.23,23.4,23.1,38.3,28.1,,,,,,,,,,,,,28.1
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000003609,陳俊秀,中信兄弟,打者,野手,170.0,142.0,35.0,3.0,26,32,0.246,0.359,0.345,0.704,0.099,0.1529,0.1882,0.0176,0.81,24.6,23.5,64.0,35.1,,,,,,,,,,,,,35.1
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000007288,何品室融,樂天桃猿,打者,野手,143.0,124.0,23.0,1.0,13,35,0.185,0.287,0.25,0.537,0.065,0.0909,0.2448,0.007,0.51,18.5,13.7,47.9,25.7,,,,,,,,,,,,,25.7
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000007064,陳世嘉,台鋼雄鷹,打者,野手,87.0,79.0,8.0,0.0,3,15,0.101,0.155,0.114,0.269,0.013,0.0345,0.1724,0.0,0.33,10.1,2.2,38.5,14.3,,,,,,,,,,,,,14.3
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000007085,張士綸,中信兄弟,打者,野手,175.0,162.0,51.0,1.0,8,17,0.315,0.341,0.364,0.705,0.049,0.0457,0.0971,0.0057,0.47,31.5,10.5,44.5,30.9,,,,,,,,,,,,,30.9
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000000159,成晉,樂天桃猿,打者,野手,122.0,106.0,22.0,0.0,7,15,0.208,0.294,0.236,0.53,0.028,0.0574,0.123,0.0,0.87,20.8,4.8,49.7,24.5,,,,,,,,,,,,,24.5
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006868,周佳樂,富邦悍將,打者,野手,38.0,34.0,7.0,0.0,4,7,0.206,0.289,0.294,0.583,0.088,0.1053,0.1842,0.0,0.57,20.6,15.1,53.2,28.2,,,,,,,,,,,,,28.2
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000003625,吉力吉撈．鞏冠,味全龍,打者,野手,139.0,119.0,29.0,2.0,15,31,0.244,0.338,0.328,0.666,0.084,0.1007,0.223,0.0144,0.58,24.4,19.7,51.1,31.5,,,,,,,,,,,,,31.5
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000007278,許庭綸,中信兄弟,打者,野手,96.0,84.0,15.0,1.0,7,15,0.179,0.271,0.286,0.557,0.107,0.0729,0.1563,0.0104,0.73,17.9,22.2,50.0,28.1,,,,,,,,,,,,,28.1
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000007302,宋柏翰,台鋼雄鷹,打者,野手,88.0,73.0,19.0,2.0,10,17,0.26,0.333,0.411,0.744,0.151,0.1136,0.1932,0.0227,0.59,26.0,34.3,54.6,37.0,,,,,,,,,,,,,37.0
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006716,張翔,統一7-ELEVEn獅,打者,野手,88.0,85.0,19.0,1.0,2,17,0.224,0.25,0.318,0.568,0.094,0.0227,0.1932,0.0114,0.18,22.4,20.3,34.1,26.4,,,,,,,,,,,,,26.4
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000005569,曾頌恩,中信兄弟,打者,野手,96.0,85.0,20.0,3.0,10,18,0.235,0.313,0.365,0.678,0.13,0.1042,0.1875,0.0312,0.56,23.5,33.9,52.8,34.7,,,,,,,,,,,,,34.7
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000001119,許基宏,中信兄弟,打者,野手,132.0,108.0,20.0,0.0,20,29,0.185,0.326,0.25,0.576,0.065,0.1515,0.2197,0.0,0.79,18.5,11.1,62.5,28.3,,,,,,,,,,,,,28.3
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006737,董子恩,富邦悍將,打者,野手,121.0,110.0,31.0,0.0,8,8,0.282,0.333,0.355,0.688,0.073,0.0661,0.0661,0.0,1.13,28.2,12.5,55.9,32.0,,,,,,,,,,,,,32.0
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000007037,張皓崴,統一7-ELEVEn獅,打者,野手,59.0,54.0,19.0,0.0,5,9,0.352,0.407,0.444,0.851,0.092,0.0847,0.1525,0.0,0.56,35.2,15.7,50.5,36.9,,,,,,,,,,,,,36.9
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006725,張祐嘉,味全龍,打者,野手,60.0,57.0,14.0,0.0,1,16,0.246,0.271,0.263,0.534,0.017,0.0167,0.2667,0.0,0.13,24.6,2.9,30.0,22.0,,,,,,,,,,,,,22.0
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000000132,梁家榮,樂天桃猿,打者,野手,107.0,96.0,21.0,0.0,10,16,0.219,0.292,0.292,0.584,0.073,0.0935,0.1495,0.0,0.63,21.9,12.5,52.9,28.0,,,,,,,,,,,,,28.0
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000004032,嚴宏鈞,樂天桃猿,打者,野手,44.0,34.0,5.0,0.0,3,12,0.147,0.256,0.206,0.462,0.059,0.0682,0.2727,0.0,0.42,14.7,10.1,41.9,21.6,,,,,,,,,,,,,21.6
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006851,林培緯,統一7-ELEVEn獅,打者,野手,93.0,88.0,19.0,0.0,3,20,0.216,0.247,0.273,0.52,0.057,0.0323,0.2151,0.0,0.2,21.6,9.8,35.3,23.3,,,,,,,,,,,,,23.3
