season,player_name,team,role,innings_pitched,earned_runs,hits_allowed,walks,strikeouts,home_runs_allowed,era,whip,k_bb_ratio,k_rate,bb_rate,hr_allowed_rate,source_note,player_id,run_prevention_score,strikeout_score,command_score,pitcher_value_score,player_value_score,player_type
2026,威鳳山,台鋼雄鷹,投手,17.0,7,21,2,13,0,3.71,1.35,6.5,0.1711,0.0263,0.0,CPBL 官方全記錄查詢,0000007836,91.4,34.2,83.5,74.7,74.7,投手
2026,黃子豪,台鋼雄鷹,投手,9.0,8,12,6,8,1,8.0,2.0,1.33,0.1739,0.1304,0.0217,CPBL 官方全記錄查詢,0000007303,85.9,34.8,44.3,60.6,60.6,投手
2026,謝葆錡,台鋼雄鷹,投手,2.0,1,3,0,1,0,4.5,1.5,0.0,0.125,0.0,0.0,CPBL 官方全記錄查詢,0000006917,90.2,25.0,50.0,61.8,61.8,投手
2026,巫柏葳,台鋼雄鷹,投手,1.667,4,4,1,0,0,21.6,3.0,0.0,0.0,0.1,0.0,CPBL 官方全記錄查詢,0000007066,74.0,0.0,40.0,45.3,45.3,投手
2026,黃紹睿,台鋼雄鷹,投手,1.0,3,1,1,1,0,27.0,2.0,1.0,0.1667,0.1667,0.0,CPBL 官方全記錄查詢,0000006922,76.2,33.3,38.9,54.3,54.3,投手
2026,曹祐齊,味全龍,投手,9.333,4,10,8,5,0,3.86,1.93,0.62,0.1064,0.1702,0.0,CPBL 官方全記錄查詢,0000006724,88.4,21.3,36.4,56.0,56.0,投手
2026,林逸達,味全龍,投手,1.333,3,2,3,0,1,20.25,3.75,0.0,0.0,0.3,0.1,CPBL 官方全記錄查詢,0000006159,70.9,0.0,20.0,37.9,37.9,投手
2026,鄧朝駿,中信兄弟,投手,2.0,3,4,1,1,0,13.5,2.5,1.0,0.0909,0.0909,0.0,CPBL 官方全記錄查詢,0000007279,80.6,18.2,46.5,54.8,54.8,投手
2026,周彥農,統一7-ELEVEn獅,投手,11.0,4,10,1,9,0,3.27,1.0,9.0,0.2093,0.0233,0.0,CPBL 官方全記錄查詢,0000007063,93.3,41.9,97.7,81.8,81.8,投手
2026,姚杰宏,統一7-ELEVEn獅,投手,1.667,1,3,0,0,1,5.4,1.8,0.0,0.0,0.0,0.1429,CPBL 官方全記錄查詢,0000005282,88.2,0.0,50.0,54.7,54.7,投手
2026,陳韻文,統一7-ELEVEn獅,投手,2.0,0,1,0,3,0,0.0,0.5,0.0,0.4286,0.0,0.0,CPBL 官方全記錄查詢,0000002688,97.5,85.7,50.0,80.3,80.3,投手
2026,邱緯綸,樂天桃猿,投手,2.0,0,3,1,2,0,0.0,2.0,2.0,0.2,0.1,0.0,CPBL 官方全記錄查詢,0000006855,90.0,40.0,51.1,65.8,65.8,投手
2026,王奕翔,樂天桃猿,投手,1.0,0,0,1,1,0,0.0,1.0,1.0,0.25,0.25,0.0,CPBL 官方全記錄查詢,0000007619,95.0,50.0,30.6,64.4,64.4,投手
2026,楊彬,樂天桃猿,投手,1.0,1,2,0,0,0,9.0,2.0,0.0,0.0,0.0,0.0,CPBL 官方全記錄查詢,0000004629,85.4,0.0,50.0,53.4,53.4,投手
2026,陳鏞基,統一7-ELEVEn獅,投手,0.333,0,2,0,0,0,0.0,6.0,0.0,0.0,0.0,0.0,CPBL 官方全記錄查詢,0000002661,70.0,0.0,50.0,46.5,46.5,投手
2026,林子偉,樂天桃猿,投手,1.0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,CPBL 官方全記錄查詢,0000001618,95.0,0.0,50.0,57.8,57.8,投手
2026,余德龍,樂天桃猿,投手,1.0,1,3,0,2,1,9.0,3.0,0.0,0.3333,0.0,0.1667,CPBL 官方全記錄查詢,0000003563,80.4,66.7,50.0,67.9,67.9,投手
2026,榊原元稀,樂天桃猿,投手,6.0,1,4,0,3,0,1.5,0.67,0.0,0.1429,0.0,0.0,CPBL 官方全記錄查詢,0000007793,95.9,28.6,50.0,65.3,65.3,投手
2026,宋晟睿,中信兄弟,投手,1.0,0,0,1,1,0,0.0,1.0,1.0,0.25,0.25,0.0,CPBL 官方全記錄查詢,0000006225,95.0,50.0,30.6,64.4,64.4,投手
2026,大瀧幸治,中信兄弟,投手,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,CPBL 官方全記錄查詢,0000006815,100.0,0.0,50.0,60.0,60.0,投手
2026,林祖傑,統一7-ELEVEn獅,投手,0.667,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,CPBL 官方全記錄查詢,0000001339,100.0,0.0,50.0,60.0,60.0,投手
2026,林暉盛,中信兄弟,投手,3.0,2,2,4,2,1,6.0,2.0,0.5,0.125,0.25,0.0625,CPBL 官方全記錄查詢,0000007049,86.9,25.0,27.8,53.7,53.7,投手
2026,陳柏均,中信兄弟,投手,1.0,0,1,1,2,0,0.0,2.0,2.0,0.4,0.2,0.0,CPBL 官方全記錄查詢,0000006875,90.0,80.0,41.1,72.8,72.8,投手
2026,劉俊豪,富邦悍將,投手,1.0,3,2,2,0,0,27.0,4.0,0.0,0.0,0.2857,0.0,CPBL 官方全記錄查詢,0000006743,66.2,0.0,21.4,36.2,36.2,投手
2026,陳鐿中,富邦悍將,投手,1.0,1,1,0,2,1,9.0,1.0,0.0,0.5,0.0,0.25,CPBL 官方全記錄查詢,0000007295,90.4,100.0,50.0,80.7,80.7,投手
2026,楊鈺翔,味全龍,投手,3.333,0,3,1,1,0,0.0,1.2,1.0,0.0769,0.0769,0.0,CPBL 官方全記錄查詢,0000006236,94.0,15.4,47.9,60.5,60.5,投手
2026,王定穎,味全龍,投手,0.333,4,1,2,0,1,108.0,9.0,0.0,0.0,0.4,0.2,CPBL 官方全記錄查詢,0000002278,0.0,0.0,10.0,3.0,3.0,投手
2026,陳冠豪,台鋼雄鷹,投手,0.333,0,1,2,0,0,0.0,9.0,0.0,0.0,0.5,0.0,CPBL 官方全記錄查詢,0000006920,55.0,0.0,0.0,24.8,24.8,投手
2026,曾昱磬,台鋼雄鷹,投手,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,CPBL 官方全記錄查詢,0000007301,100.0,0.0,50.0,60.0,60.0,投手
