season,player_name,team,position,pa,ab,hits,doubles,triples,home_runs,walks,strikeouts,stolen_bases,batting_average,obp,slg,ops,iso,bb_rate,k_rate,hr_rate,bb_k_ratio,source_note,player_id,contact_score,power_score,discipline_score,hitter_value_score,player_value_score,player_type
2026,林靖凱,統一7-ELEVEn獅,野手,73,67,11,1,0,1,3,12,0,0.164,0.208,0.224,0.432,0.06,0.0411,0.1644,0.0137,0.33,CPBL 官方全記錄查詢,0000004642,16.400000000000002,24.4,39.9,23.9,23.9,打者
2026,林祖傑,統一7-ELEVEn獅,野手,77,63,15,3,1,0,9,12,2,0.238,0.329,0.317,0.646,0.079,0.1169,0.1558,0.0,0.75,CPBL 官方全記錄查詢,0000001339,23.799999999999997,21.8,58.1,32.4,32.4,打者
2026,余德龍,樂天桃猿,野手,48,42,8,0,1,1,2,11,2,0.19,0.222,0.31,0.532,0.12,0.0417,0.2292,0.0208,0.18,CPBL 官方全記錄查詢,0000003563,19.0,45.1,36.3,30.2,30.2,打者
2026,林岱安,富邦悍將,野手,48,44,3,1,0,1,1,14,0,0.068,0.085,0.159,0.244,0.091,0.0208,0.2917,0.0208,0.07,CPBL 官方全記錄查詢,0000001606,6.800000000000001,37.1,29.2,18.7,18.7,打者
2026,林家鋐,台鋼雄鷹,野手,65,52,11,0,0,0,6,14,0,0.212,0.328,0.212,0.54,0.0,0.0923,0.2154,0.0,0.71,CPBL 官方全記錄查詢,0000006928,21.2,0.0,51.2,24.1,24.1,打者
2026,高聖恩,台鋼雄鷹,野手,62,58,16,2,1,0,1,15,3,0.276,0.295,0.345,0.64,0.069,0.0161,0.2419,0.0,0.13,CPBL 官方全記錄查詢,0000006936,27.6,19.0,30.7,28.3,28.3,打者
2026,湯家豪,台鋼雄鷹,野手,55,43,12,0,1,0,8,5,1,0.279,0.415,0.326,0.741,0.047,0.1455,0.0909,0.0,2.0,CPBL 官方全記錄查詢,0000005333,27.900000000000002,12.9,78.0,36.5,36.5,打者
2026,林吳晉瑋,中信兄弟,野手,50,35,9,0,0,0,8,10,0,0.257,0.386,0.257,0.643,0.0,0.14,0.2,0.0,0.8,CPBL 官方全記錄查詢,0000006224,25.7,0.0,61.2,28.8,28.8,打者
2026,林孝程,味全龍,野手,44,38,9,3,0,0,5,11,2,0.237,0.341,0.316,0.657,0.079,0.1136,0.25,0.0,0.55,CPBL 官方全記錄查詢,0000005548,23.7,21.8,52.2,31.7,31.7,打者
2026,田子杰,統一7-ELEVEn獅,野手,65,60,11,1,1,1,3,16,0,0.183,0.234,0.283,0.517,0.1,0.0462,0.2462,0.0154,0.25,CPBL 官方全記錄查詢,0000006847,18.3,36.4,37.2,28.2,28.2,打者
2026,林佳緯,統一7-ELEVEn獅,野手,92,89,15,1,0,0,2,27,1,0.169,0.196,0.18,0.376,0.011,0.0217,0.2935,0.0,0.11,CPBL 官方全記錄查詢,0000007070,16.900000000000002,3.0,29.7,16.9,16.9,打者
2026,張育豪,富邦悍將,野手,63,51,7,1,0,0,7,18,0,0.137,0.241,0.157,0.398,0.02,0.1111,0.2857,0.0,0.39,CPBL 官方全記錄查詢,0000007591,13.700000000000001,5.5,48.9,20.1,20.1,打者
2026,顏郁軒,台鋼雄鷹,野手,67,59,8,0,0,2,2,12,0,0.136,0.188,0.237,0.425,0.101,0.0299,0.1791,0.0299,0.33,CPBL 官方全記錄查詢,0000006939,13.600000000000001,45.1,37.4,26.9,26.9,打者
2026,李宗賢,富邦悍將,野手,64,58,13,2,0,0,5,8,1,0.224,0.297,0.259,0.556,0.035,0.0781,0.125,0.0,0.75,CPBL 官方全記錄查詢,0000001473,22.400000000000002,9.6,52.2,26.7,26.7,打者
2026,李展毅,味全龍,野手,66,61,13,3,1,0,5,18,0,0.213,0.273,0.295,0.568,0.082,0.0758,0.2727,0.0,0.28,CPBL 官方全記錄查詢,0000006726,21.3,22.6,41.9,27.8,27.8,打者
2026,陳重廷,統一7-ELEVEn獅,野手,46,45,8,2,0,0,0,7,0,0.178,0.178,0.222,0.4,0.044,0.0,0.1522,0.0,0.0,CPBL 官方全記錄查詢,0000002289,17.8,12.1,29.7,19.4,19.4,打者
2026,許哲晏,統一7-ELEVEn獅,野手,58,50,5,1,0,0,4,7,0,0.1,0.161,0.12,0.281,0.02,0.069,0.1207,0.0,0.57,CPBL 官方全記錄查詢,0000005306,10.0,5.5,48.9,16.8,16.8,打者
2026,王正棠,富邦悍將,野手,39,32,8,1,0,0,6,4,0,0.25,0.359,0.281,0.64,0.031,0.1538,0.1026,0.0,1.5,CPBL 官方全記錄查詢,0000002305,25.0,8.5,74.1,32.2,32.2,打者
2026,陳致嘉,台鋼雄鷹,野手,32,29,6,2,0,0,0,10,0,0.207,0.207,0.276,0.483,0.069,0.0,0.3125,0.0,0.0,CPBL 官方全記錄查詢,0000006926,20.7,19.0,24.1,22.4,22.4,打者
2026,冉皓燐,味全龍,野手,29,28,5,1,0,0,1,7,0,0.179,0.207,0.214,0.421,0.035,0.0345,0.2414,0.0,0.14,CPBL 官方全記錄查詢,0000006879,17.9,9.6,34.2,20.1,20.1,打者
2026,黃劼希,台鋼雄鷹,野手,50,43,8,2,0,1,5,13,2,0.186,0.3,0.302,0.602,0.116,0.1,0.26,0.02,0.54,CPBL 官方全記錄查詢,0000006931,18.6,43.5,49.3,33.4,33.4,打者
